Date,Close,Signal,Portfolio
2022-06-06,261.671,HOLD,10237.2
2022-06-07,265.322,HOLD,10237.2
2022-06-08,263.288,HOLD,10237.2
2022-06-09,257.816,HOLD,10237.2
2022-06-10,246.326,HOLD,10237.2
2022-06-13,235.879,HOLD,10237.2
2022-06-14,238.05,HOLD,10237.2
2022-06-15,245.129,HOLD,10237.2
2022-06-16,238.518,HOLD,10237.2
2022-06-17,241.127,HOLD,10237.2
2022-06-21,247.057,HOLD,10237.2
2022-06-22,246.463,HOLD,10237.2
2022-06-23,252.042,HOLD,10237.2
2022-06-24,260.649,HOLD,10237.2
2022-06-27,257.913,HOLD,10237.2
2022-06-28,249.725,HOLD,10237.2
2022-06-29,253.405,HOLD,10237.2
2022-06-30,250.065,HOLD,10237.2
2022-07-01,252.743,HOLD,10237.2
2022-07-05,255.927,HOLD,10237.2
2022-07-06,259.198,HOLD,10237.2
2022-07-07,261.331,HOLD,10237.2
2022-07-08,260.61,HOLD,10237.2
2022-07-11,257.543,HOLD,10237.2
2022-07-12,246.989,HOLD,10237.2
2022-07-13,246.064,HOLD,10237.2
2022-07-14,247.388,HOLD,10237.2
2022-07-15,249.958,HOLD,10237.2
2022-07-18,247.553,HOLD,10237.2
2022-07-19,252.694,HOLD,10237.2
2022-07-20,255.362,HOLD,10237.2
2022-07-21,257.864,BUY,10056.7
2022-07-22,253.502,HOLD,9886.59
2022-07-25,252.013,HOLD,9828.49
2022-07-26,245.265,SELL,9565.34
2022-07-27,261.662,HOLD,9565.34
2022-07-28,269.13,BUY,9419.53
2022-07-29,273.345,HOLD,9567.09
2022-08-01,270.687,HOLD,9474.06
2022-08-02,267.581,HOLD,9365.35
2022-08-03,275.03,HOLD,9626.05
2022-08-04,276.179,HOLD,9666.26
2022-08-05,275.458,HOLD,9641.04
2022-08-08,272.937,HOLD,9552.78
2022-08-09,274.864,HOLD,9620.26
2022-08-10,281.544,HOLD,9854.03
2022-08-11,279.46,HOLD,9781.1
2022-08-12,284.221,HOLD,9947.75
2022-08-15,285.74,HOLD,10000.9
2022-08-16,285,HOLD,9975.01
2022-08-17,284.249,HOLD,9948.71
2022-08-18,283.127,HOLD,9909.44
2022-08-19,279.204,HOLD,9772.16
